Course Name,Duration (h),Price (JPY),Rating,Reviews,Skills
Front-End Web UI Frameworks and Tools,50,6900,4.5,3000,"HTML,CSS,JavaScript,UX_UI_Design"
HTML CSS and Javascript for Web Developers,40,5900,4.6,2700,"HTML,CSS,JavaScript"
Responsive Web Design,30,4900,4.4,1800,"Accessibility,UX_UI_Design"
JavaScript Basics,45,6900,4.6,3200,"JavaScript"
Modern JavaScript,60,7900,4.7,4100,"JavaScript"
Backend Development with Node.js,55,7900,4.5,3500,"NodeJS,REST_API,Authentication_Security"
Building Web Applications in Python with Django,50,7900,4.6,2900,"Django,REST_API,SQL"
Full Stack Cloud Apps with React and Node,50,8900,4.6,3300,"React,NodeJS,Cloud_Infrastructure,REST_API"
React Basics,40,6900,4.5,2800,"React,JavaScript"
Advanced React,60,8900,4.7,3800,"React,JavaScript"
API Development with REST,35,5900,4.4,2100,"REST_API"
Database Management with SQL,40,6900,4.5,2400,"SQL"
NoSQL Databases and MongoDB,30,5900,4.4,1900,"NoSQL,MongoDB"
Web Security Fundamentals,25,4900,4.3,1500,"Authentication_Security"
DevOps Essentials for Developers,45,7900,4.5,2500,"DevOps,CI_CD,Docker"
Docker and Containerization Basics,30,5900,4.4,2000,"Docker"
Kubernetes Intro,35,6900,4.3,1800,"Kubernetes,Docker"
Cloud Infrastructure for Devs,50,8900,4.5,2600,"Cloud_Infrastructure,AWS_Serverless"
Real-World Full Stack Capstone,80,11900,4.8,3000,"HTML,CSS,JavaScript,React,NodeJS,SQL,DevOps"
Version Control with Git,20,3900,4.7,2200,"Git"
Full Stack Web Development Specialization,120,12500,4.7,4500,"HTML,CSS,JavaScript,React,NodeJS,REST_API,SQL,Git"
CI/CD Pipelines for Web Dev,30,5900,4.5,2100,"CI_CD,DevOps"
Performance Optimization for Web,40,6900,4.5,2300,"Performance_Optimization"
Progressive Web Apps,35,5900,4.4,2100,"Progressive_Web_Apps"
Cross-Platform Web Apps,40,6900,4.5,2400,"Progressive_Web_Apps,JavaScript"
Testing and Debugging for the Web,30,5900,4.4,2000,"Testing_Debugging"
Advanced Backend Architecture,60,8900,4.7,2900,"Microservices,Design_Patterns"
Microservices with Node.js,50,7900,4.6,2700,"NodeJS,Microservices"
GraphQL API Development,45,6900,4.6,2600,"GraphQL,REST_API"
Software Design Patterns,50,7900,4.5,2500,"Design_Patterns"
UX/UI Design for Devs,35,5900,4.3,2200,"UX_UI_Design"
Java for Web Backends,60,8900,4.6,2800,"Java_Backend,REST_API"
Python for Backend,45,6900,4.5,2400,"Django,REST_API"
Data Structures & Algorithms for Web,65,9900,4.7,3200,"Data_Structures_Algorithms"
Advanced CSS & Animations,30,5900,4.4,1800,"CSS"
Web Accessibility Fundamentals,25,4900,4.3,1600,"Accessibility,UX_UI_Design"
TypeScript Fundamentals,40,6900,4.5,2000,"TypeScript,JavaScript"
Serverless Architecture with AWS,50,8900,4.5,2400,"AWS_Serverless,Cloud_Infrastructure"
Cloud DevOps Projects,60,9900,4.7,2700,"DevOps,CI_CD,Docker,Cloud_Infrastructure"
AI Integration in Web Apps,40,7900,4.5,2200,"AI_Integration"
Career Dev for Full Stack,25,4900,4.5,1500,"Career_Skills"
Professional Soft Skills for Devs,15,3900,4.2,1200,"Career_Skills"
Freelancing as Full Stack Engineer,25,4900,4.3,1300,"Freelancing,Career_Skills"
Enterprise Full Stack Projects,90,12900,4.7,2800,"React,NodeJS,Microservices,Cloud_Native"
Web Performance Scaling,55,8900,4.6,2500,"Performance_Optimization,Cloud_Infrastructure"
Advanced Cloud Native Apps,70,10900,4.7,2900,"Cloud_Native,Kubernetes,Docker"
Web Analytics for Developers,30,5900,4.4,1900,"Web_Analytics"
Modern Backend with Go,55,8900,4.6,2400,"Go_Backend,REST_API"
Cloud Architecture & Deployment with AWS,55,7900,4.7,2600,"Cloud_Infrastructure,AWS_Serverless,DevOps,CI_CD"
Advanced Frontend Engineering with React & TypeScript,50,6900,4.8,3100,"React,TypeScript,JavaScript,UX_UI_Design"
